主編碼,屬性,詞目,音讀,文白屬性,部首
265,1,大日,tua7-jit8/tua7-lit8,0,
266,1,大月,tua7-gueh8/tua7-geh8,0,
267,1,寸尺,tshun3-tshioh4,0,
268,1,小心,sio2-sim1,0,
269,1,小月,sio2-gueh8/sio2-geh8,0,
270,1,小木,sio2-bak8,0,
271,1,工夫,kang1-hu1,0,
272,1,三太子,Sam1-thai3-tsu2,0,
273,1,上尺工,siang7-tshe1-kong1,0,
274,1,三心兩意,sam1-sim1-liong2-i3,0,
275,1,大心氣,tua7-sim1-khui3,0,
276,1,千斤秤,tshian1-kin1-tshin3/tshian1-kun1-tshin3,0,
277,1,三文魚,sam1-bun5-hi5/sam1-bun5-hu5,0,
278,1,下水湯,ha7-sui2-thng1,0,
279,1,大爿,tua7-ping5,0,
280,1,丸仔,uan5-a2,0,
281,1,大兄,tua7-hiann1,0,
282,1,工仔,kang1-a2,0,
283,1,巾仔,kin1-a2/kun1-a2,0,
284,1,弓仔,king1-a2,0,
285,1,大主大意,tua7-tsu2-tua7-i3,0,
286,1,大代誌,tua7 tai7-tsi3,0,
287,1,上加,siong7-ke1,0,
288,1,上北,tsiunn7-pak4,0,
289,1,下司,e7-si1,0,
290,1,土包仔,thoo2-pau1-a2,0,
291,1,小可仔,sio2-khua2-a2,0,
292,1,大四界,tua7-si3-ke3/tua7-si3-kue3,0,
293,1,上卌袂攝,tsiunn7-siap4-be7-liap4/tsiunn7-siap4-bue7-liap4,0,
294,1,下半暝,e7-puann3-me5/e7-puann3-mi5,0,
295,1,上市,tsiunn7-tshi7,0,
296,1,下本,he7-pun2,0,
297,1,大本,tua7-pun2,0,
298,1,小旦,sio2-tuann3,0,
299,1,上目,tsiunn7-bak8,0,
300,1,口白,khau2-peh8,0,
301,1,大目,tua7-bak8,0,
302,1,小生,sio2-sing1,0,
303,1,小玉仔,sio2-giok8-a2,0,
304,1,小白菜,sio2-peh8-tshai3,0,
305,1,大甲蓆,Tai7-kah4-tshioh8,0,
306,1,上任,tsiunn7-jim7/tsiunn7-lim7,0,
307,1,久仰,kiu2-giong2,0,
308,1,干休,kan1-hiu1,0,
309,1,大名,tua7-mia5,0,
310,1,大囝,tua7-kiann2,0,
311,1,小名,sio2-mia5,0,
312,1,小囝,sio2-kiann2,0,
313,1,大同仔,tai7-tong5-a2,0,
314,1,上好,siong7 ho2,0,
315,1,也好,ia7 ho2,0,
316,1,土地,thoo2-te7/thoo2-tue7,0,
317,1,土地公,Thoo2-ti7-kong1,0,
318,1,下早仔,e1-tsai2-a2,0,
319,1,大耳,tua7-hinn7/tua7-hi7,0,
320,1,大舌,tua7-tsih8,0,
321,1,大伯,tua7-peh4,0,
322,1,大位,tua7-ui7,0,
323,1,工作,kang1-tsok4,0,
324,1,山伯英台,San1-phik4-Ing1-tai5,0,
325,1,大妗,tua7-kim7,0,
326,1,山尾溜,suann1-bue2-liu1/suann1-be2-liu1,0,
327,1,子弟,tsu2-te7,0,
328,1,小弟,sio2-ti7,0,
