主編碼,屬性,詞目,音讀,文白屬性,部首
11086,1,戮,lak4,4,戈
11087,1,撆,pih4,4,手
11088,1,撈,hoo5,4,手
11089,1,撋,nua2,4,手
11090,1,撏,jim5/lim5,0,手
11091,1,撐,the1,0,手
11092,1,撒,suah4,2,手
11093,1,撓,ngiau2,4,手
11094,1,撚,lian2,0,手
11095,1,撞,tong7,0,手
11096,1,撟,kiau7,4,手
11097,1,撠,giah4,4,手
11098,1,慼心,tsheh4-sim1/tshueh4-sim1,0,
11099,1,撆手䘼,pih4-tshiu2-ng2,0,
11100,1,撒豆油,suah4 tau7-iu5,0,
11101,1,撠刺,giah4 tshi3,0,
11102,1,撚匼笑,lian2-khap4-tshio3,0,
11103,1,戮空,lak4-khang1,0,
11104,1,撞突,tong7-tut8,0,
11105,1,撒胡椒,suah4 hoo5-tsio1,0,
11106,1,撞破,tong7-phua3,0,
11107,1,慶祝,khing3-tsiok4,0,
11108,1,慰問,ui3-bun7,0,
11109,1,撞球,tong7-kiu5,0,
11110,1,撆紮,pih4-tsah4,0,
11111,1,撐船,the1-tsun5,0,
11112,1,慰勞,ui3-lo7,0,
11113,1,憂悶,iu1-bun7,0,
11114,1,憤慨,hun3-khai3,0,
11115,1,憂結結,iu1-kat4-kat4,0,
11116,1,撞著,tong7-tioh8,0,
11117,1,慶賀,khing3-ho7,0,
11118,1,憂愁,iu1-tshiu5,0,
11119,1,撙節,tsun2-tsat4,0,
11120,1,憢疑,giau5-gi5,0,
11121,1,撚骰仔,lian2-tau5-a2,0,
11122,1,憐憫,lian5-bin2,0,
11123,1,撐篙,the1-ko1,0,
11124,1,撆褲跤,pih4-khoo3-kha1,0,
11125,1,憂頭苦面,iu1-thau5-khoo2-bin7,0,
11126,1,憂頭結面,iu1-thau5-kat4-bin7,0,
11127,1,撚寶,lian2-po2,0,
11128,1,撒鹽,suah4 iam5,0,
11129,1,戮鑽,lak4-tsng3,0,
11130,1,撚鑽,lian2-tsng3,0,
11131,1,撥,puah4,2,手
11132,1,撨,tshiau5,4,手
11133,1,撩,liau5,4,手
11134,1,撩,lio5,4,手
11135,1,撫,hu1,4,手
11136,1,撬,kiau7,4,手
11137,1,播,poo3,0,手
11138,1,撮,tshok4,4,手
11139,1,數,siau3,2,攴
11140,1,數,soo3,1,攴
11141,1,暫,tsiam7,0,日
11142,1,槳,tsiunn2,0,木
11143,1,槽,tso5,0,木
11144,1,樂,gak8,0,木
11145,1,樂,lok8,0,木
11146,1,敵人,tik8-jin5/tik8-lin5,0,
11147,1,撥工,puah4-kang1,0,
11148,1,敵手,tik8-tshiu2,0,
11149,1,暴牙,pok4-ge5,0,
11150,1,暫且,tsiam7-tshiann2,0,
11151,1,槳仔,tsiunn2-a2,0,
11152,1,佈田,poo3-tshan5,0,
11153,1,數目,siau3-bak8,0,
11154,1,佈田管,poo3-tshan5-kong2,0,
11155,1,數字,soo3-ji7/soo3-li7,0,
11156,1,數念,siau3-liam7,0,
11157,1,數房,siau3-pang5,0,
11158,1,撩油,lio5-iu5,0,
11159,1,暫度,tsiam7-too7,0,
11160,1,播音,poo3-im1,0,
11161,1,暫時,tsiam7-si5,0,
11162,1,撨時鐘,tshiau5 si5-tsing1,0,
11163,1,播送,poo3-sang3,0,
11164,1,數單,siau3-tuann1,0,
11165,1,撥開,puah4--khui1,0,
11166,1,數量,soo3-liong7,0,
11167,1,樂隊,gak8-tui7,0,
11168,1,樂園,lok8-hng5,0,
11169,1,數想,siau3-siunn7,0,
11170,1,撨摵,tshiau5-tshik8,0,
11171,1,樂暢,lok8-thiong3,0,
11172,1,佈稻仔,poo3-tiu7-a2,0,
11173,1,撥駕,puah4-ka3,0,
11174,1,撫養,bu2-iong2,0,
11175,1,數學,soo3-hak8,0,
11176,1,暴穎,pok4-inn2,0,
11177,1,槽頭,tso5-thau5,0,
11178,1,數櫃,siau3-kui7,0,
11179,1,數額,siau3-giah8,0,
11180,1,數簿,siau3-phoo7,0,
11181,1,暴露,pok8-loo7,0,
11182,1,樂觀,lok8-kuan1,0,
11183,1,樓,lau5,0,木
11184,1,標,piau1,1,木
11185,1,標,pio1,2,木
11186,1,樟,tsiunn1,2,木
11187,1,樠,mia5,4,木
11188,1,模,boo5,0,木
11189,1,樣,iunn7,2,木
11190,1,漿,tsiunn1,2,水
11191,1,潑,phuah4,2,水
11192,1,潘,phun1,2,水
11193,1,潘水,phun1-tsui2,0,
11194,1,樓仔,lau5-a2,0,
11195,1,樟仔,tsiunn1-a2,0,
11196,1,樓仔厝,lau5-a2-tshu3,0,
11197,1,標本,piau1-pun2,0,
11198,1,樓尾頂,lau5-bue2-ting2/lau5-be2-ting2,0,
11199,1,漿泔,tsiunn1-am2,0,
11200,1,潘泔,phun1-am2,0,
11201,1,潑雨,phuah4-hoo7,0,
11202,1,漿洗,tsiunn1-se2/tsiunn1-sue2,0,
11203,1,標致,phiau1-ti3,0,
11204,1,漿衫,tsiunn1-sann1,0,
11205,1,潘桶,phun1-thang2,0,
11206,1,樓梯,lau5-thui1,0,
11207,1,樓頂,lau5-ting2,0,
11208,1,標會仔,pio1-hue7-a2/pio1-he7-a2,0,
11209,1,標準,piau1-tsun2,0,
11210,1,樟腦,tsiunn1-lo2,0,
11211,1,樓跤,lau5-kha1,0,
11212,1,模樣,boo5-iunn7,0,
11213,1,模範,boo5-huan7,0,
11214,1,標頭,phiau1-thau5,0,
11215,1,標頭,pio1-thau5,0,
11216,1,潤,jun7/lun7,0,水
11217,1,潭,tham5,0,水
11218,1,潲,siau5,4,水
11219,1,澍,tshu7,4,水
11220,1,濆,bun3,4,水
11221,1,熟,sik8,2,火
11222,1,熥,thng7,4,火
11223,1,熨,ut4,0,火
11224,1,熬,go5,0,火
11225,1,熟手,sik8-tshiu2,0,
11226,1,熨斗,ut4-tau2,0,
11227,1,潭仔,tham5-a2,0,
11228,1,熟似,sik8-sai7,0,
11229,1,熟似人,sik8-sai7-lang5,0,
11230,1,熨金,ut4-kim1,0,
11231,1,潮流,tiau5-liu5,0,
11232,1,潦草,lo2-tsho2,0,
11233,1,澄清,ting5-tshing1,0,
11234,1,澎湖菜瓜,phenn5-oo5-tshai3-kue1,0,
11235,1,潤餅𩛩,jun7-piann2-kauh4/lun7-piann2-kauh4,0,
11236,1,熟鐵,sik8-thih4,0,
11237,1,熱,jiat8/liat8,1,火
11238,1,熱,juah8/luah8,2,火
11239,1,獎,tsiong2,0,犬
11240,1,瘡,tshng1,2,疒
11241,1,瘤,liu5,0,疒
11242,1,瘦,san2,4,疒
11243,1,皺,jiau5/liau5,4,皮
11244,1,盤,puann5,2,皿
11245,1,熱人,juah8--lang5/luah8--lang5,0,
11246,1,熱天,juah8-thinn1/luah8-thinn1,0,
11247,1,熱心,jiat8-sim1/liat8-sim1,0,
11248,1,盤仔,puann5-a2,0,
11249,1,盤古,Phuan5-koo2,0,
11250,1,璇石,suan7-tsioh8,0,
11251,1,瘦田,san2 tshan5,0,
11252,1,瘦肉,san2-bah4,0,
11253,1,盤車,puann5-tshia1,0,
11254,1,瘦卑巴,san2-pi1-pa1,0,
11255,1,瘦抽,san2-thiu1,0,
11256,1,獎狀,tsiong2-tsng7,0,
11257,1,獎金,tsiong2-kim1,0,
11258,1,熱毒,jiat8-tok8/liat8-tok8,0,
11259,1,瘟疫,un1-ik8,0,
11260,1,熱帶,jiat8-tai3/liat8-tai3,0,
11261,1,皺痕,jiau5-hun5/liau5-hun5,0,
11262,1,盤喙錦,puann5-tshui3-gim2,0,
11263,1,瘦猴,san2-kau5,0,
11264,1,璇筆,suan7-pit4,0,
11265,1,熱著,juah8--tioh8/luah8--tioh8,0,
11266,1,盤話,puann5-ue7,0,
11267,1,熱嗽,jiat8-sau3/liat8-sau3,0,
11268,1,盤撋,puann5-nua2,0,
11269,1,盤數,puann5-siau3,0,
11270,1,獎勵,tsiong2-le7,0,
11271,1,皺襞襞,jiau5-phe2-phe2/liau5-phe2-phe2,0,
11272,1,瞌,kheh4/khueh4,4,目
11273,1,磅,pong7,0,石
11274,1,磕,khap8,0,石
11275,1,稻,tiu7,4,禾
11276,1,稿,ko2,0,禾
11277,1,窮,king5,2,穴
11278,1,窮,kiong5,1,穴
11279,1,窮,khing5,2,穴
11280,1,窯,io5,0,穴
11281,1,箠,tshue5/tshe5,2,竹
11282,1,箬,hah8,0,竹
11283,1,箭,tsinn3,2,竹
11284,1,箱,siunn1,2,竹
11285,1,磅子,pong7-tsi2,0,
11286,1,窮分,khing5-hun1,0,
11287,1,磅仔,pong7-a2,0,
11288,1,箠仔,tshue5-a2/tshe5-a2,0,
11289,1,箱仔,siunn1-a2,0,
11290,1,磅皮,pong7-phue5/pong7-phe5,0,
11291,1,磅米芳,pong7-bi2-phang1,0,
11292,1,確定,khak4-ting7,0,
11293,1,磅空,pong7-khang1,0,
11294,1,磅重,pong7-tang7,0,
11295,1,稻埕,tiu7-tiann5,0,
11296,1,稻草,tiu7-tshau2,0,
11297,1,稻草人,tiu7-tshau2-lang5,0,
11298,1,磕袂著,khap8-be7-tioh8/khap8-bue7-tioh8,0,
11299,1,磕著,khap8-tioh8,0,
11300,1,確實,khak4-sit8,0,
11301,1,磅錶,pong7-pio2,0,
11302,1,碼頭,be2-thau5,0,
11303,1,磕頭,khap8-thau5,0,
11304,1,稻穗,tiu7-sui7,0,
11305,1,箱籠,siunn1-lang2,0,
11306,1,篇,phinn1,2,竹
11307,1,篋,kheh4,4,竹
11308,1,糊,koo5,2,米
11309,1,糋,tsinn3,0,米
11310,1,線,suann3,0,糸
11311,1,緟,thong7,4,糸
11312,1,緣,ian5,0,糸
11313,1,編,pian1,1,糸
11314,1,緩,uan7,0,糸
11315,1,練,lian7,0,糸
11316,1,罵,ma7,1,网
11317,1,罵,me7/ma7,2,网
11318,1,糊人,koo5--lang5,0,
11319,1,篋仔,kheh4-a2,0,
11320,1,糊仔,koo5-a2,0,
11321,1,練字,lian7-ji7/lian7-li7,0,
11322,1,編曲,pian1-khik4,0,
11323,1,緣投,ian5-tau5,0,
11324,1,緣故,ian5-koo3,0,
11325,1,線香,suann3-hiunn1,0,
11326,1,線索,suann3-soh4,0,
11327,1,練習,lian7-sip8,0,
11328,1,範圍,huan7-ui5,0,
11329,1,寸棗,tshun3-tso2,0,
11330,1,練痟話,lian7-siau2-ue7,0,
11331,1,範勢,pan7-se3,0,
11332,1,糊塗,hoo5-too5,0,
11333,1,線路,suann3-loo7,0,
11334,1,糊瘰瘰,hoo5-lui3-lui3,0,
11335,1,編輯,pian1-tsip8,0,
11336,1,線頭,suann3-thau5,0,
11337,1,罷,pa7,0,网
11338,1,膚,hu1,0,肉
11339,1,膜,mooh8,0,肉
11340,1,膠,ka1,0,肉
11341,1,膣,tsi1,4,肉
11342,1,舖,phoo3,0,舌
11343,1,蓬,phong7,4,艸
11344,1,罷工,pa7-kang1,0,
11345,1,蓮子,lian5-tsi2,0,
11346,1,蓬心,pong7-sim1,0,
11347,1,罷市,pa7-tshi7,0,
11348,1,膣屄,tsi1-bai1,0,
11349,1,蓮花,lian5-hue1,0,
11350,1,蓮花金,lian5-hue1-kim1,0,
11351,1,蓪草,thong1-tsho2,0,
11352,1,蓬萊米,hong5-lai5-bi2,0,
11353,1,蓮蕉花,lian5-tsiau1-hue1,0,
11354,1,蓬鬆,phong7-song1,0,
11355,1,蓮藕,lian5-ngau7,0,
11356,1,蓮霧,lian2-bu7,0,
11357,1,蔗,tsia3,0,艸
11358,1,蔥,tshang1,0,艸
11359,1,蔫,lian1,4,艸
11360,1,蔭,im3,0,艸
11361,1,蔭,ng2,4,艸
11362,1,蝝,ian5,4,虫
11363,1,蝦,he5,0,虫
11364,1,蝨,sat4,0,虫
11365,1,蝦仁,he5-jin5/he5-lin5,0,
11366,1,蔥仔,tshang1-a2,0,
11367,1,蝦仔,he5-a2,0,
11368,1,蝨母,sat4-bo2,0,
11369,1,蝦米,he5-bi2,0,
11370,1,蔭身,im3-sin1,0,
11371,1,蝦卑,he5-pi1,0,
11372,1,蝦蛄,he5-koo1,0,
11373,1,蝦蛄擗仔,he5-koo1-phiak8-a2,0,
11374,1,蔭豉仔,im3-sinn7-a2,0,
11375,1,蝦猴,he5-kau5,0,
11376,1,蝦膎,he5-ke5/he5-kue5,0,
11377,1,蔗箬,tsia3-hah8,0,
11378,1,蝨篦,sat4-pin3,0,
11379,1,蔥頭,tshang1-thau5,0,
11380,1,蝒蟲,bin7-thang5,0,
11381,1,衝,tshing3,4,行
11382,1,衝,tshiong1,0,行
11383,1,褒,po1,0,衣
11384,1,褙,pue3,0,衣
11385,1,誰,tsui5,2,言
11386,1,課,kho3,1,言
11387,1,調,tiau5,0,言
11388,1,調,tiau7,0,言
11389,1,談,tam5,0,言
11390,1,課文,kho3-bun5,0,
11391,1,蝶仔,iah8-a2,0,
11392,1,課本,kho3-pun2,0,
11393,1,衛生,ue7-sing1,0,
11394,1,衛生紙,ue7-sing1-tsua2,0,
11395,1,談判,tam5-phuann3,0,
11396,1,衛星,ue7-tshenn1/ue7-tshinn1,0,
11397,1,調查,tiau5-tsa1,0,
11398,1,衝突,tshiong1-tut8,0,
11399,1,調停,tiau5-thing5,0,
11400,1,衝動,tshiong1-tong7,0,
11401,1,調動,tiau3-tong7,0,
11402,1,課程,kho3-ting5,0,
11403,1,褒嗦,po1-so1,0,
11404,1,衝碰,tshong2-pong7,0,
11405,1,調解,tiau5-kai2,0,
11406,1,褒歌,po1-kua1,0,
11407,1,褒獎,po1-tsiong2,0,
11408,1,蝴蝶,oo5-tiap8,0,
11409,1,談論,tam5-lun7,0,
11410,1,調養,tiau5-iong2,0,
11411,1,調整,tiau5-tsing2,0,
11412,1,誹謗,hui2-pong3,0,
11413,1,複雜,hok8-tsap8,0,
11414,1,請,tshiann2,2,言
11415,1,請,tshing2,1,言
11416,1,諍,tsenn3/tsinn3,2,言
11417,1,論,lun7,0,言
11418,1,豬,ti1/tu1,0,豕
11419,1,賜,su3,0,貝
11420,2,賞,siong2,1,貝
11421,1,賞,siunn2,2,貝
11422,1,賠,pue5/pe5,0,貝
11423,1,賢,hian5,0,貝
11424,1,賣,be7/bue7,2,貝
11425,1,賣,mai7,1,貝
11426,1,賤,tsian7,0,貝
11427,1,質,tsit4,0,貝
11428,1,賭,too2,0,貝
11429,1,踏,tah8,2,足
11430,1,踢,that4,2,足
11431,1,請人客,tshiann2-lang5-kheh4,0,
11432,1,豬公,ti1-kang1/tu1-kang1,0,
11433,1,豬公,ti1-kong1/tu1-kong1,0,
11434,1,論文,lun7-bun5,0,
11435,1,豬心,ti1-sim1/tu1-sim1,0,
11436,1,賞月,siunn2-gueh8/siunn2-geh8,0,
11437,1,踏斗,tah8-tau2,0,
11438,1,豬仔,ti1-a2/tu1-a2,0,
11439,1,豬仔囝,ti1-a2-kiann2/tu1-a2-kiann2,0,
11440,1,豬母,ti1-bo2/tu1-bo2,0,
11441,1,豬母奶仔,ti1-bo2-ling1-a2/tu1-bo2-ni1-a2,0,
11442,1,豬母菜,ti1-bo2-tshai3/tu1-bo2-tshai3,0,
11443,1,請示,tshing2-si7,0,
11444,1,請安,tshing2-an1,0,
11445,1,豬肉,ti1-bah4/tu1-bah4,0,
11446,1,豬舌,ti1-tsih8/tu1-tsih8,0,
11447,1,豬血,ti1-hueh4/tu1-huih4,0,
11448,1,請坐,tshiann2-tse7,0,
11449,1,請求,tshing2-kiu5,0,
11450,1,豬灶,ti1-tsau3/tu1-tsau3,0,
11451,1,豬牢,ti1-tiau5/tu1-tiau5,0,
11452,1,豬肚,ti1-too7/tu1-too7,0,
11453,1,豬肝,ti1-kuann1/tu1-kuann1,0,
11454,1,豬肝色,ti1-kuann1-sik4/tu1-kuann1-sik4,0,
11455,1,賣身,be7-sin1/bue7-sin1,0,
11456,1,請命,tshing2-bing7,0,
11457,1,賣命,be7-mia7/bue7-mia7,0,
11458,1,趣味,tshu3-bi7,0,
11459,1,請帖,tshiann2-thiap4,0,
11460,1,踏枋,tah8-pang1,0,
11461,1,豬油,ti1-iu5/tu1-iu5,0,
11462,1,豬油粕仔,ti1-iu5-phoh4-a2/tu1-iu5-phoh4-a2,0,
11463,1,賞狀,siunn2-tsng7,0,
11464,1,豬狗精牲,ti1-kau2-tsing1-senn1/tu1-kau2-tsing1-sinn1,0,
11465,1,豬肺,ti1-hi3/tu1-hi3,0,
11466,1,賞金,siunn2-kim1,0,
11467,1,豬胚仔,ti1-phue1-a2/tu1-phe1-a2,0,
11468,1,豬哥,ti1-ko1/tu1-ko1,0,
11469,1,豬哥牙,ti1-ko1-ge5/tu1-ko1-ge5,0,
11470,1,豬哥神,ti1-ko1-sin5/tu1-ko1-sin5,0,
11471,1,踏差,tah8-tsha1,0,
11472,1,請桌,tshiann2-toh4,0,
11473,1,賭氣,too2-khi3,0,
11474,1,豬砧,ti1-tiam1/tu1-tiam1,0,
11475,1,請神,tshiann2-sin5,0,
11476,1,請假,tshing2-ka2,0,
11477,1,請問,tshiann2-mng7,0,
11478,1,質問,tsit4-mng7,0,
11479,1,賭強,too2-kiong5,0,
11480,1,請教,tshing2-kau3,0,
11481,1,踢被,that4 phue7/that4 phe7,0,
11482,1,諍喙,tsenn3-tshui3/tsinn3-tshui3,0,
11483,1,踏硬,tah8-nge7/tah8-ngi7,0,
11484,1,豬菜,ti1-tshai3/tu1-tshai3,0,
11485,1,質量,tsit4-liong7,0,
11486,1,踢毽子,that4-kian3-tsi2,0,
11487,1,請罪,tshing2-tsue7,0,
11488,1,豬腸仔,ti1-tng5-a2/tu1-tng5-a2,0,
11489,1,諒解,liong7-kai2,0,
11490,1,質詢,tsit4-sun5,0,
11491,1,豬跤,ti1-kha1/tu1-kha1,0,
11492,1,豬跤箍,ti1-kha1-khoo1/tu1-kha1-khoo1,0,
11493,1,踏話頭,tah8-ue7-thau5,0,
11494,1,豬跤麵線,ti1-kha1-mi7-suann3/tu1-kha1-mi7-suann3,0,
11495,1,賞罰,siunn2-huat8,0,
11496,1,賢慧,hian5-hue7,0,
11497,1,豬槽,ti1-tso5/tu1-tso5,0,
11498,1,賞賜,siunn2-su3,0,
11499,1,豬鋪,ti1-phoo1/tu1-phoo1,0,
11500,1,賞錢,siunn2-tsinn5,0,
11501,1,賠錢,pue5-tsinn5/pe5-tsinn5,0,
11502,1,豬頭爿,ti1-thau5-ping5/tu1-thau5-ping5,0,
11503,1,豬頭皮,ti1-thau5-phue5/tu1-thau5-phe5,0,
11504,1,豬頭肥,ti1-thau5-pui5/tu1-thau5-pui5,0,
11505,1,賠償,pue5-siong5/pe5-siong5,0,
11506,1,賤蟲,tsian7-thang5,0,
11507,1,踏蹺,tah8-khiau1,0,
11508,1,踮,tiam3,4,足
11509,1,輦,lian2,0,車
11510,1,輩,pue3,0,車
11511,1,輪,lian2,4,車
11512,1,輪,lun5,0,車
11513,1,遨,go5,4,辵
11514,1,遮,tsia1,4,辵
11515,1,遮,tsiah4,4,辵
11516,1,遮,jia1/lia1,0,辵
11517,1,遷,tshian1,0,辵
11518,1,鄰,lin5,0,邑
11519,1,醃,am1,0,酉
11520,1,醉,tsui3,0,酉
11521,1,醋,tshoo3,0,酉
11522,1,遮日,jia1-jit8/lia1-lit8,0,
11523,1,輪仔,lian2-a2,0,
11524,1,醃瓜,am1-kue1,0,
11525,1,適合,sik4-hap8,0,
11526,1,遷居,tshian1-ki1/tshian1-ku1,0,
11527,1,遮的,tsia1--e5,0,
11528,1,遮雨,jia1-hoo7/lia1-hoo7,0,
11529,1,醃缸,am1-kng1,0,
11530,1,遮風,jia1-hong1/lia1-hong1,0,
11531,1,輪值,lun5-tit8,0,
11532,1,輪框,lian2-khing1,0,
11533,1,輪班,lun5-pan1,0,
11534,1,輪迴,lun5-hue5,0,
11535,1,遷徙,tshian1-sua2,0,
11536,1,醋桶,tshoo3-thang2,0,
11537,1,踩街,tshai2-ke1/tshai2-kue1,0,
11538,1,適當,sik4-tong3,0,
11539,1,遭遇,tso1-gu7,0,
11540,1,遮閘,jia1-tsah8/lia1-tsah8,0,
11541,1,遮爾,tsiah4-ni7,0,
11542,1,遮爾仔,tsiah4-ni7-a2,0,
11543,1,遮瞞,jia1-mua5/lia1-mua5,0,
11544,1,輦轎仔,lian2-kio7-a2,0,
11545,1,輪鬮,lun5-khau1,0,
11546,1,銷,siau1,0,金
11547,1,鋏,giap4,4,金
11548,1,鋩,me5,4,金
11549,1,鋪,phoo1,0,金
11550,1,閬,lang3,4,門
11551,1,閬工,lang3-kang1,0,
11552,1,閬月,lang3-gueh8/lang3-geh8,0,
11553,1,鋩角,me5-kak4,0,
11554,1,鋪面蟶,phoo1-bin7-than1,0,
11555,1,銷售,siau1-siu7,0,
11556,1,鋪排,phoo1-pai5,0,
11557,1,鋪排話,phoo1-pai5-ue7,0,
11558,1,鋪棉裘,phoo1-mi5-hiu5,0,
11559,1,銷路,siau1-loo7,0,
11560,1,鋤頭,ti5-thau5/tu5-thau5,0,
11561,1,閬縫,lang3-phang7,0,
11562,1,霆,tan5,0,雨
11563,1,靠,kho3,0,非
11564,1,靠,khua3,4,非
11565,1,鞋,e5/ue5,2,革
11566,1,鞍,uann1,2,革
11567,1,鞏,khong7,4,革
11568,1,養,iong2,1,食
11569,1,養,iunn2,2,食
11570,1,餓,go7,0,食
11571,1,駐,tu7,4,馬
11572,1,駛,sai2,2,馬
11573,1,靠山,kho3-suann1,0,
11574,1,養女,iong2-li2/iong2-lu2,0,
11575,1,養子,iong2-tsu2,0,
11576,1,霆水螺,tan5-tsui2-le5,0,
11577,1,養母,iunn2-bu2,0,
11578,1,餓死,go7--si2,0,
11579,1,駐死,tu7--si2,0,
11580,1,養老,iong2-lo2,0,
11581,1,養育,iong2-iok8,0,
11582,1,駛車,sai2-tshia1,0,
11583,1,靠岸,kho3-huann7,0,
11584,1,鞋抿仔,e5-bin2-a2/ue5-bin2-a2,0,
11585,1,鞋拔仔,e5-pueh8-a2/ue5-pueh8-a2,0,
11586,1,鞋油,e5-iu5/ue5-iu5,0,
11587,1,養爸,iunn2-pe7,0,
11588,1,養的,iong2--e5,0,
11589,1,靠俗,kho3-siok8,0,
11590,1,鞋苴,e5-tsu7/ue5-tsu7,0,
11591,1,養神,iong2-sin5,0,
11592,1,鞋帶,e5-tua3/ue5-tua3,0,
11593,1,駛船,sai2-tsun5,0,
11594,1,靠著,kho3-tioh8,0,
11595,1,靠勢,kho3-se3,0,
11596,1,養飼,iong2-tshi7,0,
11597,1,霆雷公,tan5-lui5-kong1,0,
11598,1,駕駛,ka3-su2,0,
11599,1,鬧,nau7,0,鬥
11600,1,魄,phik4,0,鬼
11601,1,魯,loo2,0,魚
11602,1,麩,hu1,1,麥
11603,1,麩,phoo1,2,麥
11604,1,齒,khi2,0,齒
11605,1,齒𣻸,khi2-siunn5,0,
11606,1,鴉片,a1-phian3,0,
11607,1,鴉片仙,a1-phian3-sian1,0,
11608,1,魩仔魚,but4-a2-hi5/but4-a2-hu5,0,
11609,1,鬧台,nau7-tai5,0,
11610,1,齒包,khi2-pau1,0,
11611,1,齒岸,khi2-huann7,0,
11612,1,鬧房,nau7-pang5,0,
11613,1,齒抿仔,khi2-bin2-a2,0,
11614,1,齒杯,khi2-pue1,0,
11615,1,齒科,khi2-kho1,0,
11616,1,齒粉,khi2-hun2,0,
11617,1,魬魚,puann2-hi5/puann2-hu5,0,
11618,1,魴魚,hang1-hi5/hang1-hu5,0,
11619,1,齒膏,khi2-ko1,0,
11620,1,鬧熱,lau7-jiat8/lau7-liat8,0,
11621,1,齒縫,khi2-phang7,0,
11622,1,齒觳仔,khi2-khok4-a2,0,
11623,1,齒戳仔,khi2-thok4-a2,0,
11624,1,鬧廳,nau7-thiann1,0,
11625,1,儑,gam7,4,人
11626,1,凝,ging5,0,冫
11627,1,器,khi3,0,口
11628,1,噪人耳,tsho3-lang5-hinn7/tsho3-lang5-hi7,0,
11629,1,凝心,ging5-sim1,0,
11630,1,凝血,ging5-hueh4/ging5-huih4,0,
11631,1,器具,khi3-ku7,0,
11632,1,器官,khi3-kuan1,0,
11633,1,器重,khi3-tiong7,0,
11634,1,儑面,gam7-bin7,0,
11635,1,噤喙,khiunn7-tshui3,0,
11636,1,噭噭叫,kiau3-kiau3-kio3,0,
11637,1,儑頭儑面,gam7-thau5-gam7-bin7,0,
11638,1,噯,aih4,4,口
11639,1,壁,piah4,2,土
11640,1,壅,ing3,0,土
11641,1,壇,tuann5,2,土
11642,1,學,hak8,1,子
11643,1,學,oh8,2,子
11644,1,學人,oh8--lang5,0,
11645,1,學力,hak8-lik8,0,
11646,1,學士,hak8-su7,0,
11647,1,學工夫,oh8 kang1-hu1,0,
11648,1,噯仔,ai3-a2,0,
11649,1,學仔,oh8-a2,0,
11650,1,學仔仙,oh8-a2-sian1,0,
11651,1,壅田,ing3 tshan5,0,
11652,1,學生,hak8-sing1,0,
11653,1,學位,hak8-ui7,0,
11654,1,壁空,piah4-khang1,0,
11655,1,壅肥,ing3 pui5,0,
11656,1,學校,hak8-hau7,0,
11657,1,奮鬥,hun3-tau3,0,
11658,1,學問,hak8-bun7,0,
11659,1,壁堵,piah4-too2,0,
11660,1,學堂,oh8-tng5,0,
11661,1,學理,hak8-li2,0,
11662,1,學習,hak8-sip8,0,
11663,1,學術,hak8-sut8,0,
11664,1,學期,hak8-ki5,0,
11665,1,學費,hak8-hui3,0,
11666,1,學業,hak8-giap8,0,
11667,1,學話,oh8-ue7,0,
11668,1,學寮,hak8-liau5,0,
11669,1,噷噷,hmh8-hmh8,0,
11670,1,壁櫥,piah4-tu5,0,
11671,1,憑,pin5,2,心
11672,1,憲,hian3,0,心
11673,1,懍,lun2,0,心
11674,1,戰,tsian3,0,戈
11675,1,撼,ham2,4,手
11676,1,擂,lui5,0,手
11677,1,擇,tik8,0,手
11678,1,擉,tiak8,4,手
11679,1,擋,tong3,4,手
11680,1,操,tshau1,2,手
11681,1,操,tsho1,1,手
11682,1,擒,khim5,0,手
11683,1,擔,tam1,1,手
11684,1,擔,tann1,2,手
11685,1,擔,tann3,2,手
11686,1,據,ki3/ku3,0,手
11687,1,擛,iat8,4,手
11688,1,整,tsing2,0,攴
11689,1,擔工,tann1-kang1,0,
11690,1,操心,tshau1-sim1,0,
11691,1,擔水,tann1-tsui2,0,
11692,1,擛手,iat8-tshiu2,0,
11693,1,擔仔麵,tann3-a2-mi7,0,
11694,1,擔任,tam1-jim7/tam1-lim7,0,
11695,1,據在,ki3-tsai7/ku3-tsai7,0,
11696,1,憲兵,hian3-ping1,0,
11697,1,操作,tshau1-tsok4,0,
11698,1,戰車,tsian3-tshia1,0,
11699,1,憑良心,pin5-liong5-sim1,0,
11700,1,憲法,hian3-huat4,0,
11701,1,戰爭,tsian3-tsing1,0,
11702,1,擔肥,tann1-pui5,0,
11703,1,擔保,tam1-po2,0,
11704,1,擋咧,tong3--leh4,0,
11705,1,擔屎,tann1-sai2,0,
11706,1,擛風,iat8-hong1,0,
11707,1,戰鬥,tsian3-tau3,0,
11708,1,整理,tsing2-li2,0,
11709,1,擂缽,lui5-puah4,0,
11710,1,戰術,tsian3-sut8,0,
11711,1,操勞,tshau1-lo5,0,
11712,1,懍場,lun2-tiunn5,0,
11713,1,戰場,tsian3-tiunn5,0,
11714,1,懊惱,au3-nau2,0,
11715,1,戰亂,tsian3-luan7,0,
11716,1,憑準,pin5-tsun2,0,
11717,1,操煩,tshau1-huan5,0,
11718,1,擔當,tam1-tng1,0,
11719,1,整頓,tsing2-tun3,0,
11720,1,擂鼓,lui5 koo2,0,
11721,1,懊嘟嘟,au3-tu7-tu7,0,
11722,1,擂槌,lui5-thui5,0,
11723,1,擉算盤,tiak8 sng3-puann5,0,
11724,1,整齊,tsing2-tse5,0,
11725,1,擔憂,tam1-iu1,0,
